provenance,setting,domain,split,input_group,method,human_order,median_scores,complete,pairwise,top_region,best_of_4,rank_regret,cost_units
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0013,Single metric,1|0|3|2,3.45203238|0.05769832|-1.13425225|-0.38057321,1,0.83333333,0.80000000,0.00000000,0.33333333,0.145882
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0014,Single metric,2|0|1|3,2.13444899|0.92151860|1.71540640|0.86008290,1,0.83333333,0.80000000,0.00000000,0.33333333,0.231761
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0015,Single metric,3|2|0|1,1.58969794|-2.29352100|0.49456380|-0.66076633,1,0.50000000,0.40000000,0.00000000,0.66666667,0.219834
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0016,Single metric,2|3|0|1,1.79404988|-0.28989680|0.42338231|-1.39248624,1,0.50000000,0.40000000,0.00000000,0.66666667,0.351988
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0017,Single metric,1|3|2|0,0.28123835|2.07985225|-1.65062472|0.51688750,1,0.83333333,1.00000000,1.00000000,0.00000000,0.225305
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0018,Single metric,2|0|1|3,-1.49155126|-3.37295240|-2.30814635|0.91444224,1,0.33333333,0.40000000,0.00000000,1.00000000,0.281780
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0019,Single metric,1|3|2|0,1.60510144|1.78702739|2.55337191|1.87145807,1,0.50000000,0.40000000,0.00000000,0.66666667,0.201458
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0020,Single metric,0|3|1|2,1.59301729|1.45242078|-3.30136630|3.84414787,1,0.83333333,0.80000000,0.00000000,0.33333333,0.278481
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0021,Single metric,1|2|3|0,1.64224512|-0.58814619|1.36618351|-1.58104636,1,0.33333333,0.40000000,0.00000000,1.00000000,0.201797
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0022,Single metric,0|2|1|3,0.62079546|-1.27978503|-2.09928821|-0.81114184,1,0.50000000,0.60000000,1.00000000,0.00000000,0.284461
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0023,Single metric,0|3|2|1,2.62588883|-1.44303539|0.13824340|0.68627172,1,1.00000000,1.00000000,1.00000000,0.00000000,0.223080
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0024,Single metric,2|1|3|0,1.03378449|0.29449768|-0.38143891|2.07647896,1,0.16666667,0.00000000,0.00000000,0.66666667,0.256356
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0025,Single metric,1|0|2|3,-2.96564986|-0.01691819|-0.65566440|-3.26224568,1,0.83333333,0.80000000,1.00000000,0.00000000,0.188293
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0026,Single metric,2|1|0|3,-0.84325626|0.67560793|0.94203121|-1.77041480,1,1.00000000,1.00000000,1.00000000,0.00000000,0.250874
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0027,Single metric,3|1|2|0,1.08373848|3.70376153|0.60678385|3.01271370,1,0.66666667,0.80000000,0.00000000,0.33333333,0.283629
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0028,Single metric,0|3|2|1,2.68198833|0.28648577|-1.77799670|1.17198655,1,0.83333333,1.00000000,1.00000000,0.00000000,0.220763
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0029,Single metric,2|3|0|1,0.61651610|-2.80010752|0.04515446|2.41421303,1,0.66666667,0.60000000,0.00000000,0.33333333,0.228058
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0030,Single metric,1|3|2|0,2.89231967|-0.51310653|-1.69074146|0.74914979,1,0.33333333,0.40000000,0.00000000,1.00000000,0.346770
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0031,Single metric,3|0|2|1,1.13301410|0.18348691|-0.55862769|0.46118507,1,0.66666667,0.80000000,0.00000000,0.33333333,0.169731
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0032,Single metric,1|2|3|0,0.01248343|4.19379148|-2.10802914|-0.87357485,1,0.50000000,0.60000000,1.00000000,0.00000000,0.219779
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0033,Single metric,0|3|1|2,3.79322599|0.61152276|-2.60103848|-1.23669189,1,0.83333333,0.80000000,1.00000000,0.00000000,0.143561
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0034,Single metric,0|2|3|1,-0.81706650|3.30104280|0.13626999|-1.85264253,1,0.33333333,0.40000000,0.00000000,1.00000000,0.219873
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0035,Single metric,3|2|1|0,-1.24607157|-1.97557281|1.05738744|4.20633497,1,0.83333333,1.00000000,1.00000000,0.00000000,0.241837
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0036,Single metric,1|3|2|0,0.02030389|-2.43169553|2.94966465|3.40879488,1,0.50000000,0.40000000,0.00000000,0.33333333,0.227773
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0037,Single metric,0|3|2|1,2.18937302|-2.64676840|0.04956069|0.56270899,1,1.00000000,1.00000000,1.00000000,0.00000000,0.260847
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0038,Single metric,0|1|2|3,0.01110369|-1.83412125|-2.54960274|-5.34881599,1,1.00000000,1.00000000,1.00000000,0.00000000,0.221981
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0039,Single metric,3|1|0|2,-0.28653954|1.51809720|-1.67967408|3.78585308,1,1.00000000,1.00000000,1.00000000,0.00000000,0.267312
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0040,Single metric,1|0|2|3,1.60045120|0.01391854|2.26839106|1.24828144,1,0.33333333,0.20000000,0.00000000,0.66666667,0.201303
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0041,Single metric,0|2|3|1,0.66826321|2.02743169|3.44634458|1.70236866,1,0.33333333,0.40000000,0.00000000,0.33333333,0.233041
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0042,Single metric,0|3|2|1,-0.00505906|3.18649992|-0.15786672|-0.23618011,1,0.33333333,0.40000000,0.00000000,1.00000000,0.208537
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0043,Single metric,3|2|1|0,-2.65731845|-1.14436764|1.82090754|1.66410817,1,0.83333333,0.80000000,0.00000000,0.33333333,0.190819
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0044,Single metric,1|2|0|3,1.08505325|1.31512373|3.14261427|0.20496949,1,0.83333333,0.80000000,0.00000000,0.33333333,0.214915
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0045,Single metric,3|1|0|2,-2.65088569|0.21732719|0.88178639|-1.04973842,1,0.33333333,0.40000000,0.00000000,1.00000000,0.189316
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0046,Single metric,1|0|2|3,2.93471937|3.47621555|0.81632709|2.00003575,1,0.83333333,1.00000000,1.00000000,0.00000000,0.244606
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0047,Single metric,3|0|2|1,2.50754205|0.64128912|1.21407787|0.27895452,1,0.50000000,0.40000000,0.00000000,0.33333333,0.152825
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0048,Single metric,2|0|1|3,-2.88509475|-2.27142814|0.81517568|-2.92321795,1,0.83333333,0.80000000,1.00000000,0.00000000,0.226397
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0049,Single metric,2|0|3|1,1.47329747|-0.83718780|-0.19599752|-1.90569264,1,0.66666667,0.80000000,0.00000000,0.33333333,0.173889
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0050,Single metric,3|2|1|0,1.74937237|-0.56000594|0.31928993|1.36192044,1,0.50000000,0.60000000,0.00000000,1.00000000,0.250014
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0051,Single metric,2|3|0|1,-3.67853395|-0.75861602|-1.55678099|1.15843121,1,0.50000000,0.60000000,0.00000000,0.33333333,0.166734
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0052,Single metric,2|0|1|3,1.23715279|1.15083307|5.02842414|-2.97851205,1,1.00000000,1.00000000,1.00000000,0.00000000,0.272346
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0053,Single metric,1|3|0|2,-2.34634683|1.62745684|-2.28232451|1.13518450,1,0.83333333,1.00000000,1.00000000,0.00000000,0.222597
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0054,Single metric,2|1|3|0,0.44741820|-0.89800223|2.99220072|1.40101055,1,0.66666667,0.60000000,1.00000000,0.00000000,0.277946
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0055,Single metric,1|0|3|2,-0.97676675|1.56803104|-2.65780009|-1.34380225,1,1.00000000,1.00000000,1.00000000,0.00000000,0.253853
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0056,Single metric,2|3|1|0,-2.31142933|-0.89939388|2.72837428|-0.46166708,1,1.00000000,1.00000000,1.00000000,0.00000000,0.156350
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0057,Single metric,2|0|1|3,0.17305281|1.42051099|1.88520753|-3.21969949,1,0.83333333,0.80000000,1.00000000,0.00000000,0.251123
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0058,Single metric,0|1|2|3,1.69975257|1.21353984|0.71167159|1.76573645,1,0.50000000,0.60000000,0.00000000,1.00000000,0.189092
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0059,Single metric,1|3|0|2,0.20264780|2.90704586|-1.39732034|-2.35753432,1,0.66666667,0.60000000,1.00000000,0.00000000,0.207443
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0060,Single metric,1|3|0|2,-0.92650329|-0.58287663|-4.96208335|-1.53297321,1,0.83333333,0.80000000,1.00000000,0.00000000,0.259482
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0061,Single metric,1|0|3|2,0.31117158|8.65876136|1.95450501|1.68774347,1,0.50000000,0.60000000,1.00000000,0.00000000,0.232990
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0062,Single metric,2|3|1|0,0.24411194|0.83248788|1.34609006|-1.47568717,1,0.66666667,0.60000000,1.00000000,0.00000000,0.156872
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0063,Single metric,1|3|2|0,-2.44660636|0.41578323|-0.27948909|0.49729019,1,0.83333333,0.80000000,0.00000000,0.33333333,0.234346
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0064,Single metric,0|1|2|3,0.39057579|-0.07986983|0.40916964|-1.87596990,1,0.66666667,0.60000000,0.00000000,0.66666667,0.173086
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0065,Single metric,2|3|0|1,-0.28743954|-2.91271992|2.87585246|1.16717672,1,1.00000000,1.00000000,1.00000000,0.00000000,0.178575
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0066,Single metric,1|2|0|3,-0.13017361|-1.69254557|2.42724350|-1.49053956,1,0.50000000,0.40000000,0.00000000,0.33333333,0.215642
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0067,Single metric,2|0|3|1,-0.13341610|1.57126512|-0.43158251|-0.12515568,1,0.00000000,0.00000000,0.00000000,1.00000000,0.158854
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0068,Single metric,0|2|1|3,0.80374467|-2.37373735|-1.58055333|-0.82225987,1,0.66666667,0.80000000,1.00000000,0.00000000,0.223424
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0069,Single metric,3|2|0|1,1.74671562|-3.65247915|0.33179138|1.59192021,1,0.66666667,0.60000000,0.00000000,0.66666667,0.154237
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0070,Single metric,2|0|1|3,-3.58285749|-0.55052825|-0.28765686|-0.45594995,1,0.50000000,0.60000000,1.00000000,0.00000000,0.280940
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0071,Single metric,3|2|1|0,1.75134825|-2.20420664|1.95084831|2.13033094,1,0.83333333,1.00000000,1.00000000,0.00000000,0.296640
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0072,Single metric,0|3|1|2,-0.35085252|0.87074022|-1.41457788|-0.13596810,1,0.50000000,0.40000000,0.00000000,0.66666667,0.242024
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0073,Single metric,1|2|3|0,-4.65061630|-0.14138123|-2.70879562|-3.63736809,1,1.00000000,1.00000000,1.00000000,0.00000000,0.177820
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0074,Single metric,2|0|1|3,0.33062821|-1.30736465|1.54274360|1.63171584,1,0.50000000,0.60000000,0.00000000,1.00000000,0.206962
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0075,Single metric,0|1|3|2,-0.93059961|-2.68304764|-2.87990647|-0.43787889,1,0.66666667,0.60000000,0.00000000,0.66666667,0.217018
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0076,Single metric,2|1|0|3,-2.04188371|1.70735694|-0.87743723|-1.37676833,1,0.66666667,0.80000000,0.00000000,0.33333333,0.239007
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0077,Single metric,2|3|0|1,-1.95988941|-2.71742764|-0.00335360|-2.63137486,1,0.83333333,0.80000000,1.00000000,0.00000000,0.275039
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0078,Single metric,3|2|0|1,-1.21706429|-1.70333607|0.50492062|1.63898018,1,1.00000000,1.00000000,1.00000000,0.00000000,0.184062
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0079,Single metric,2|0|3|1,-1.08498935|0.61081783|-1.31744044|0.29633177,1,0.00000000,0.00000000,0.00000000,1.00000000,0.223131
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0080,Single metric,1|3|0|2,0.67867130|2.32369473|-0.31614882|-0.48232153,1,0.66666667,0.60000000,1.00000000,0.00000000,0.184971
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0081,Single metric,2|0|1|3,-2.40076029|-2.13845315|3.69647672|-0.84614935,1,0.50000000,0.60000000,1.00000000,0.00000000,0.153103
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0082,Single metric,3|1|0|2,1.87033715|-0.25350165|0.90291079|1.01425425,1,0.50000000,0.40000000,0.00000000,0.66666667,0.284658
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0083,Single metric,0|1|3|2,3.90033372|-0.68362965|1.16894798|2.71708584,1,0.66666667,0.60000000,1.00000000,0.00000000,0.242696
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0084,Single metric,1|2|3|0,0.51633808|-0.00211616|0.20398938|0.01180261,1,0.16666667,0.20000000,0.00000000,1.00000000,0.209134
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0085,Single metric,3|1|0|2,0.37013240|0.33508147|-0.37433717|-0.31046058,1,0.50000000,0.40000000,0.00000000,0.66666667,0.220296
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0086,Single metric,1|2|0|3,-0.46700467|1.91495024|-0.52636523|-4.11811576,1,0.83333333,0.80000000,1.00000000,0.00000000,0.136912
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0087,Single metric,0|1|2|3,2.09409540|-0.56706761|-1.90182081|0.18299092,1,0.66666667,0.80000000,1.00000000,0.00000000,0.290725
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0088,Single metric,3|1|2|0,0.43483228|4.60292317|3.72178118|-1.19093415,1,0.50000000,0.40000000,0.00000000,0.33333333,0.289598
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0089,Single metric,3|0|1|2,1.10970588|-1.71964278|-5.28084864|3.09798574,1,1.00000000,1.00000000,1.00000000,0.00000000,0.275073
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0090,Single metric,3|1|0|2,-2.74683499|1.33474448|-2.69958981|-0.89457544,1,0.66666667,0.80000000,0.00000000,0.33333333,0.320596
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0091,Single metric,0|2|1|3,1.73843924|0.90861185|-0.98015397|-1.77142673,1,0.83333333,0.80000000,1.00000000,0.00000000,0.221459
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0092,Single metric,1|3|0|2,-2.22641705|2.13039645|-1.60978292|-0.98557444,1,0.83333333,1.00000000,1.00000000,0.00000000,0.164781
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0093,Single metric,2|0|1|3,1.73037147|-0.16870363|0.51813963|-0.01911362,1,0.66666667,0.80000000,0.00000000,0.33333333,0.223529
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0094,Single metric,1|3|2|0,-0.07423091|3.92163607|1.65367017|3.10351474,1,1.00000000,1.00000000,1.00000000,0.00000000,0.228211
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0095,Single metric,1|0|2|3,1.69054879|3.22506637|0.94271244|-0.14180844,1,1.00000000,1.00000000,1.00000000,0.00000000,0.275470
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0096,Single metric,0|1|2|3,-1.11366648|-0.57320804|-1.22061334|-2.08178451,1,0.83333333,0.80000000,0.00000000,0.33333333,0.190497
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0097,Single metric,0|3|1|2,3.06557666|1.32650300|-1.64477858|-0.12146851,1,0.83333333,0.80000000,1.00000000,0.00000000,0.279322
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0098,Single metric,3|2|1|0,0.56266452|1.79411459|-0.74729489|2.84827894,1,0.66666667,0.60000000,1.00000000,0.00000000,0.226853
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0099,Single metric,3|2|1|0,-0.38959326|-1.11495711|-0.87679912|1.60219496,1,0.66666667,0.80000000,1.00000000,0.00000000,0.161371
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0100,Single metric,2|3|0|1,-1.61908296|0.25692872|4.03358783|-2.54602266,1,0.50000000,0.60000000,1.00000000,0.00000000,0.177586
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0101,Single metric,2|1|0|3,2.00866153|-4.53669737|0.11889821|-2.44493353,1,0.50000000,0.40000000,0.00000000,0.66666667,0.247234
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0102,Single metric,0|3|2|1,0.71815991|-0.73776781|1.52237851|0.87529268,1,0.50000000,0.40000000,0.00000000,0.66666667,0.296591
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0103,Single metric,1|0|3|2,-1.32772869|1.93642902|-2.31413034|-1.27181197,1,0.83333333,0.80000000,1.00000000,0.00000000,0.224736
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0104,Single metric,2|1|0|3,-0.65476658|-0.34609217|-0.42879209|-0.35101423,1,0.50000000,0.60000000,0.00000000,0.33333333,0.258264
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0105,Single metric,3|1|2|0,-0.17420194|0.70283614|2.59998081|0.27892660,1,0.50000000,0.40000000,0.00000000,0.66666667,0.209795
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0106,Single metric,0|2|1|3,2.33482974|-4.04452517|-2.87619382|-3.28095642,1,0.83333333,1.00000000,1.00000000,0.00000000,0.195367
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0107,Single metric,1|0|2|3,-3.46274067|0.21519172|0.45697790|-0.73416029,1,0.50000000,0.40000000,0.00000000,0.66666667,0.196676
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0108,Single metric,2|1|0|3,0.90666010|0.29872232|0.81789246|-0.38948024,1,0.66666667,0.60000000,0.00000000,0.66666667,0.158791
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0109,Single metric,3|1|0|2,-1.06123647|-2.78000440|-0.17125009|0.58579525,1,0.50000000,0.60000000,1.00000000,0.00000000,0.220351
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0110,Single metric,3|0|1|2,1.44958037|-2.28622237|-1.55689144|2.75372520,1,0.83333333,1.00000000,1.00000000,0.00000000,0.230770
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0111,Single metric,0|2|1|3,3.59211438|-0.33624149|-1.72044764|1.73877688,1,0.50000000,0.60000000,1.00000000,0.00000000,0.195715
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0112,Single metric,3|1|2|0,-0.44005652|2.50831859|-0.90774116|1.43351427,1,0.66666667,0.80000000,0.00000000,0.33333333,0.258495
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0113,Single metric,0|3|1|2,1.14067346|1.94853792|0.36196452|3.80179220,1,0.66666667,0.60000000,0.00000000,0.33333333,0.194784
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0114,Single metric,1|2|0|3,1.66273668|0.08513296|1.25938486|0.33504059,1,0.33333333,0.20000000,0.00000000,0.66666667,0.188745
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0115,Single metric,0|1|2|3,0.73387052|1.93604643|-0.49276443|-1.43973883,1,0.83333333,0.80000000,0.00000000,0.33333333,0.209022
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0116,Single metric,0|3|2|1,1.05843645|-1.80114875|-0.30467268|-2.71249434,1,0.66666667,0.60000000,1.00000000,0.00000000,0.298115
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0117,Single metric,2|3|0|1,0.51622774|2.02220551|2.12315419|0.33444274,1,0.50000000,0.60000000,1.00000000,0.00000000,0.175745
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0118,Single metric,2|3|0|1,2.53237279|-1.11467291|1.21751928|1.22027962,1,0.50000000,0.40000000,0.00000000,0.66666667,0.211081
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0119,Single metric,0|3|2|1,2.61747335|-1.60431704|-1.97302498|1.49873895,1,0.83333333,1.00000000,1.00000000,0.00000000,0.182904
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0120,Single metric,1|0|3|2,0.03502691|0.12622739|1.80658128|-0.47111216,1,0.50000000,0.60000000,0.00000000,1.00000000,0.204734
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0121,Single metric,2|1|0|3,-2.15693958|0.29966356|2.21711682|0.57838351,1,0.66666667,0.80000000,1.00000000,0.00000000,0.205137
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0122,Single metric,3|2|0|1,-1.00728809|-0.29554863|-1.55934758|2.38520578,1,0.50000000,0.60000000,1.00000000,0.00000000,0.235086
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0123,Single metric,3|1|0|2,-0.43644251|-1.46639397|-1.45943112|-0.90926004,1,0.50000000,0.40000000,0.00000000,0.66666667,0.241701
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0124,Single metric,3|2|0|1,-1.53632690|-0.45753202|-0.44428789|2.97750378,1,0.83333333,1.00000000,1.00000000,0.00000000,0.347517
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0125,Single metric,2|3|1|0,-0.38265446|0.71397340|0.96132045|0.96109682,1,1.00000000,1.00000000,1.00000000,0.00000000,0.228225
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0126,Single metric,1|0|3|2,-0.95419297|1.60520071|-2.17233363|2.60892411,1,0.66666667,0.60000000,0.00000000,0.66666667,0.192923
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0127,Single metric,1|0|2|3,1.15357222|0.00272735|0.62470440|-6.39006158,1,0.66666667,0.60000000,0.00000000,0.33333333,0.222203
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0128,Single metric,3|0|2|1,-2.18045216|-0.76296003|0.72520841|2.84058855,1,0.66666667,0.60000000,1.00000000,0.00000000,0.241636
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0129,Single metric,1|0|3|2,1.21663774|-1.66862315|1.90551431|1.12323761,1,0.16666667,0.20000000,0.00000000,1.00000000,0.177350
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0130,Single metric,2|3|0|1,-0.48649605|-0.50407902|-0.07613749|3.74918780,1,0.83333333,0.80000000,0.00000000,0.33333333,0.231769
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0131,Single metric,1|0|2|3,-1.45255866|1.98127432|-2.27027049|-3.42676147,1,1.00000000,1.00000000,1.00000000,0.00000000,0.217525
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0132,Single metric,3|1|2|0,-2.82704790|1.02777058|-2.72333195|0.29262175,1,0.83333333,0.80000000,0.00000000,0.33333333,0.179541
