provenance,setting,domain,input_group,rater_1,rater_2,rater_3,group_agreement,group_outcome
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0023,1,2,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0024,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0025,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0026,0,1,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0027,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0028,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0029,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0030,2,2,-1,1.0,tie
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0031,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0032,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0033,1,1,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0034,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0035,-1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0036,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0037,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0038,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0039,1,1,-1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0040,2,0,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0041,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0042,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0043,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0044,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0045,0,1,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0046,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0047,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0048,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0049,1,0,2,0.0,no consensus
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0050,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0051,2,2,2,1.0,tie
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0052,1,2,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0053,1,1,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0054,2,0,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0055,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0056,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0057,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0058,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0059,1,0,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0060,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0061,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0062,1,1,2,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0063,-1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0064,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0065,2,2,2,1.0,tie
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0066,0,2,2,0.3333333333333333,tie
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0067,1,0,-1,0.0,no consensus
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0068,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0069,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0070,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0071,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0072,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0073,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0074,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0075,1,0,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0076,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0077,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0078,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0079,1,0,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0080,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0081,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0082,0,0,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0083,1,2,2,0.3333333333333333,tie
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0084,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0085,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0086,2,2,2,1.0,tie
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0087,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0088,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0089,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0090,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0091,0,2,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0092,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0093,0,2,1,0.0,no consensus
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0094,1,1,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0095,2,2,2,1.0,tie
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0096,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0097,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0098,2,0,2,0.3333333333333333,tie
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0099,2,2,1,0.3333333333333333,tie
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0100,1,-1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0101,1,1,-1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0102,1,2,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0103,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0104,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0105,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0106,0,-1,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0107,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0108,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0109,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0110,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0111,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0112,1,-1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0113,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0114,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0115,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0116,2,2,2,1.0,tie
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0117,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0118,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0119,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0120,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0121,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0122,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0123,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0124,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0125,-1,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0126,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0127,-1,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0128,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0129,0,0,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0130,2,-1,0,0.0,no consensus
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0131,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0132,2,0,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0133,-1,-1,1,nan,insufficient votes
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0134,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0135,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0136,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0137,-1,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0138,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0139,0,0,-1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0140,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0141,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0142,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0143,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0144,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0145,2,2,2,1.0,tie
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0146,0,2,-1,0.0,no consensus
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0147,1,-1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0148,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0149,2,1,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0150,1,1,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0151,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0152,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0153,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0154,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0155,0,1,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0156,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0157,2,2,2,1.0,tie
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0158,0,-1,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0159,-1,-1,0,nan,insufficient votes
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0000,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0001,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0002,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0003,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0004,2,2,0,0.3333333333333333,tie
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0005,0,1,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0006,-1,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0007,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0008,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0009,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0010,-1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0011,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0012,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0013,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0014,0,2,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0015,1,1,2,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0016,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0017,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0018,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0019,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0020,0,0,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0021,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0022,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0023,2,0,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0024,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0025,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0026,0,1,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0027,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0028,2,1,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0029,0,1,2,0.0,no consensus
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0030,2,1,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0031,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0032,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0033,2,2,2,1.0,tie
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0034,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0035,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0036,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0037,1,1,-1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0038,2,1,2,0.3333333333333333,tie
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0039,1,1,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0040,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0041,1,1,2,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0042,-1,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0043,0,2,2,0.3333333333333333,tie
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0044,1,1,-1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0045,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0046,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0047,-1,1,2,0.0,no consensus
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0048,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0049,1,2,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0050,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0051,1,1,-1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0052,1,-1,0,0.0,no consensus
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0053,0,1,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0054,1,0,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0055,-1,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0056,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0057,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0058,1,2,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0059,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0060,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0061,0,-1,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0062,0,-1,-1,nan,insufficient votes
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0063,0,0,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0064,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0065,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0066,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0067,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0068,2,2,2,1.0,tie
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0069,0,0,-1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0070,1,1,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0071,1,0,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0072,1,2,2,0.3333333333333333,tie
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0073,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0074,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0075,1,1,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0076,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0077,0,0,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0078,1,0,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0079,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0080,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0081,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0082,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0083,0,0,2,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0084,0,0,2,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0085,2,0,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0086,1,1,2,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0087,-1,0,-1,nan,insufficient votes
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0088,-1,1,-1,nan,insufficient votes
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0089,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0090,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0091,0,0,-1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0092,1,1,2,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0093,2,1,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0094,1,1,2,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0095,0,0,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0096,-1,0,-1,nan,insufficient votes
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0097,1,0,-1,0.0,no consensus
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0098,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0099,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0100,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0101,1,1,-1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0102,0,0,-1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0103,2,2,2,1.0,tie
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0104,0,-1,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0105,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0106,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0107,2,1,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0108,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0109,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0110,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0111,2,1,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0112,1,0,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0113,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0114,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0115,-1,0,2,0.0,no consensus
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0116,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0117,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0118,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0119,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0120,2,-1,2,1.0,tie
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0121,1,1,2,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0122,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0123,2,2,2,1.0,tie
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0124,0,0,2,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0125,0,1,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0126,-1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0127,-1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0128,0,0,2,0.3333333333333333,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0129,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0130,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0131,-1,2,2,1.0,tie
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0132,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-IG1,SIM-ANN-1-0133,-1,2,2,1.0,tie
