provenance,setting,domain,split,method,metric,mean,lower,upper,coverage,cost_units
SIMULATED,Reuse,TD-IG1,ID,Static tools,best_of_4,0.5316455696202531,0.44936708860759494,0.6012658227848101,0.9875,1.0011653868876036
SIMULATED,Reuse,TD-IG1,ID,Static tools,rank_regret,0.2616033755274262,0.21097046413502107,0.3143459915611814,0.9875,1.0011653868876036
SIMULATED,Reuse,TD-IG1,ID,Prompt optimization,pairwise,0.7285115303983228,0.6939203354297695,0.7599580712788259,0.99375,1.14213926757407
SIMULATED,Reuse,TD-IG1,ID,Prompt optimization,top_region,0.7484276729559748,0.7119496855345913,0.7849056603773584,0.99375,1.14213926757407
SIMULATED,Reuse,TD-IG1,ID,Prompt optimization,best_of_4,0.5723270440251572,0.4966981132075472,0.6415094339622641,0.99375,1.14213926757407
SIMULATED,Reuse,TD-IG1,ID,Prompt optimization,rank_regret,0.21593291404612155,0.1719077568134172,0.259958071278826,0.99375,1.14213926757407
SIMULATED,Reuse,TD-IG1,ID,Program search,pairwise,0.7389937106918238,0.7075471698113207,0.7693920335429768,0.99375,1.420506119350962
SIMULATED,Reuse,TD-IG1,ID,Program search,top_region,0.7522012578616352,0.7169811320754716,0.7861635220125786,0.99375,1.420506119350962
SIMULATED,Reuse,TD-IG1,ID,Program search,best_of_4,0.5911949685534591,0.5157232704402516,0.6666666666666666,0.99375,1.420506119350962
SIMULATED,Reuse,TD-IG1,ID,Program search,rank_regret,0.23270440251572327,0.18658280922431864,0.2851153039832285,0.99375,1.420506119350962
SIMULATED,Reuse,TD-IG1,ID,ERA,pairwise,0.7830188679245284,0.7525943396226414,0.8123689727463311,0.99375,1.5448725205649203
SIMULATED,Reuse,TD-IG1,ID,ERA,top_region,0.7999999999999998,0.7685220125786162,0.8301886792452831,0.99375,1.5448725205649203
SIMULATED,Reuse,TD-IG1,ID,ERA,best_of_4,0.6352201257861635,0.559748427672956,0.710691823899371,0.99375,1.5448725205649203
SIMULATED,Reuse,TD-IG1,ID,ERA,rank_regret,0.1761006289308176,0.1362159329140461,0.22222222222222218,0.99375,1.5448725205649203
SIMULATED,Reuse,TD-IG1,OOD,Single metric,pairwise,0.6373165618448637,0.6016771488469603,0.670859538784067,0.99375,0.22696961625585174
SIMULATED,Reuse,TD-IG1,OOD,Single metric,top_region,0.6314465408805032,0.5899371069182391,0.6729874213836478,0.99375,0.22696961625585174
SIMULATED,Reuse,TD-IG1,OOD,Single metric,best_of_4,0.44025157232704404,0.36462264150943396,0.5220125786163522,0.99375,0.22696961625585174
SIMULATED,Reuse,TD-IG1,OOD,Single metric,rank_regret,0.310272536687631,0.259958071278826,0.3585429769392033,0.99375,0.22696961625585174
SIMULATED,Reuse,TD-IG1,OOD,Metric ensemble,pairwise,0.6551362683438154,0.6226415094339622,0.6865828092243187,0.99375,0.6455925621664591
SIMULATED,Reuse,TD-IG1,OOD,Metric ensemble,top_region,0.6666666666666666,0.630188679245283,0.70188679245283,0.99375,0.6455925621664591
SIMULATED,Reuse,TD-IG1,OOD,Metric ensemble,best_of_4,0.4716981132075472,0.3836477987421384,0.5534591194968553,0.99375,0.6455925621664591
SIMULATED,Reuse,TD-IG1,OOD,Metric ensemble,rank_regret,0.3081761006289308,0.26205450733752617,0.3626834381551362,0.99375,0.6455925621664591
SIMULATED,Reuse,TD-IG1,OOD,Static judge,pairwise,0.7052083333333333,0.66875,0.7385677083333333,1.0,0.8257740608346598
SIMULATED,Reuse,TD-IG1,OOD,Static judge,top_region,0.725,0.6875,0.76,1.0,0.8257740608346598
SIMULATED,Reuse,TD-IG1,OOD,Static judge,best_of_4,0.53125,0.45625,0.6125,1.0,0.8257740608346598
SIMULATED,Reuse,TD-IG1,OOD,Static judge,rank_regret,0.25625,0.20411458333333332,0.30421875,1.0,0.8257740608346598
SIMULATED,Reuse,TD-IG1,OOD,Static tools,pairwise,0.7044025157232704,0.6740041928721173,0.7358490566037735,0.99375,1.0036003995451268
SIMULATED,Reuse,TD-IG1,OOD,Static tools,top_region,0.7157232704402515,0.6767295597484276,0.7534591194968553,0.99375,1.0036003995451268
SIMULATED,Reuse,TD-IG1,OOD,Static tools,best_of_4,0.5220125786163522,0.44654088050314467,0.5974842767295597,0.99375,1.0036003995451268
SIMULATED,Reuse,TD-IG1,OOD,Static tools,rank_regret,0.25157232704402516,0.20545073375262052,0.29984276729559745,0.99375,1.0036003995451268
SIMULATED,Reuse,TD-IG1,OOD,Prompt optimization,pairwise,0.7172995780590717,0.6782700421940928,0.7531645569620253,0.9875,1.13525791816455
SIMULATED,Reuse,TD-IG1,OOD,Prompt optimization,top_region,0.7227848101265822,0.6772151898734177,0.7620569620253164,0.9875,1.13525791816455
SIMULATED,Reuse,TD-IG1,OOD,Prompt optimization,best_of_4,0.5443037974683544,0.46835443037974683,0.620253164556962,0.9875,1.13525791816455
SIMULATED,Reuse,TD-IG1,OOD,Prompt optimization,rank_regret,0.2616033755274262,0.20675105485232065,0.3080168776371308,0.9875,1.13525791816455
SIMULATED,Reuse,TD-IG1,OOD,Program search,pairwise,0.7125,0.682265625,0.7416666666666666,1.0,1.4314096809595287
SIMULATED,Reuse,TD-IG1,OOD,Program search,top_region,0.7299999999999999,0.69625,0.7637499999999999,1.0,1.4314096809595287
SIMULATED,Reuse,TD-IG1,OOD,Program search,best_of_4,0.525,0.44984375000000004,0.6,1.0,1.4314096809595287
SIMULATED,Reuse,TD-IG1,OOD,Program search,rank_regret,0.24375,0.20416666666666666,0.29166666666666663,1.0,1.4314096809595287
SIMULATED,Reuse,TD-IG1,OOD,ERA,pairwise,0.7651991614255764,0.7348008385744236,0.7966457023060796,0.99375,1.5446273819511935
SIMULATED,Reuse,TD-IG1,OOD,ERA,top_region,0.7735849056603774,0.7421383647798742,0.8075471698113206,0.99375,1.5446273819511935
SIMULATED,Reuse,TD-IG1,OOD,ERA,best_of_4,0.5786163522012578,0.5031446540880503,0.6540880503144654,0.99375,1.5446273819511935
SIMULATED,Reuse,TD-IG1,OOD,ERA,rank_regret,0.20964360587002093,0.16981132075471697,0.259958071278826,0.99375,1.5446273819511935
SIMULATED,Reuse,TD-TG1,ID,Single metric,pairwise,0.6949685534591196,0.658280922431866,0.7285377358490566,0.99375,0.2284747880301155
SIMULATED,Reuse,TD-TG1,ID,Single metric,top_region,0.7018867924528301,0.6641509433962264,0.7371069182389937,0.99375,0.2284747880301155
SIMULATED,Reuse,TD-TG1,ID,Single metric,best_of_4,0.5031446540880503,0.4276729559748428,0.5849056603773585,0.99375,0.2284747880301155
SIMULATED,Reuse,TD-TG1,ID,Single metric,rank_regret,0.2641509433962264,0.2180293501048218,0.31446540880503143,0.99375,0.2284747880301155
SIMULATED,Reuse,TD-TG1,ID,Metric ensemble,pairwise,0.7208333333333334,0.6895833333333333,0.753125,1.0,0.6226425720715764
SIMULATED,Reuse,TD-TG1,ID,Metric ensemble,top_region,0.7337499999999999,0.7,0.7687499999999999,1.0,0.6226425720715764
SIMULATED,Reuse,TD-TG1,ID,Metric ensemble,best_of_4,0.50625,0.425,0.5814062499999999,1.0,0.6226425720715764
SIMULATED,Reuse,TD-TG1,ID,Metric ensemble,rank_regret,0.25,0.2020833333333333,0.2958333333333333,1.0,0.6226425720715764
SIMULATED,Reuse,TD-TG1,ID,Static judge,pairwise,0.7379454926624739,0.7064989517819706,0.7683438155136268,0.99375,0.7833131122974306
SIMULATED,Reuse,TD-TG1,ID,Static judge,top_region,0.7534591194968553,0.7169811320754716,0.791194968553459,0.99375,0.7833131122974306
SIMULATED,Reuse,TD-TG1,ID,Static judge,best_of_4,0.6226415094339622,0.5533018867924528,0.6982704402515721,0.99375,0.7833131122974306
SIMULATED,Reuse,TD-TG1,ID,Static judge,rank_regret,0.18658280922431864,0.1488469601677149,0.2285115303983228,0.99375,0.7833131122974306
SIMULATED,Reuse,TD-TG1,ID,Static tools,pairwise,0.7708333333333334,0.7416666666666666,0.7979166666666666,1.0,1.0407781845469077
SIMULATED,Reuse,TD-TG1,ID,Static tools,top_region,0.7774999999999999,0.7462500000000001,0.8074999999999999,1.0,1.0407781845469077
SIMULATED,Reuse,TD-TG1,ID,Static tools,best_of_4,0.59375,0.51875,0.66875,1.0,1.0407781845469077
SIMULATED,Reuse,TD-TG1,ID,Static tools,rank_regret,0.19999999999999998,0.16041666666666665,0.24171874999999998,1.0,1.0407781845469077
SIMULATED,Reuse,TD-TG1,ID,Prompt optimization,pairwise,0.7903563941299789,0.7610062893081762,0.8197064989517818,0.99375,1.1719691162776311
SIMULATED,Reuse,TD-TG1,ID,Prompt optimization,top_region,0.7974842767295597,0.7647798742138363,0.8264150943396225,0.99375,1.1719691162776311
SIMULATED,Reuse,TD-TG1,ID,Prompt optimization,best_of_4,0.5660377358490566,0.48427672955974843,0.6477987421383647,0.99375,1.1719691162776311
SIMULATED,Reuse,TD-TG1,ID,Prompt optimization,rank_regret,0.18867924528301883,0.14675052410901468,0.23060796645702306,0.99375,1.1719691162776311
SIMULATED,Reuse,TD-TG1,ID,Program search,pairwise,0.7683438155136267,0.7421121593291404,0.7935272536687632,0.99375,1.3818842056252407
SIMULATED,Reuse,TD-TG1,ID,Program search,top_region,0.7962264150943394,0.7647798742138364,0.8251572327044024,0.99375,1.3818842056252407
SIMULATED,Reuse,TD-TG1,ID,Program search,best_of_4,0.5849056603773585,0.5094339622641509,0.6605345911949684,0.99375,1.3818842056252407
SIMULATED,Reuse,TD-TG1,ID,Program search,rank_regret,0.1761006289308176,0.14046121593291405,0.22012578616352196,0.99375,1.3818842056252407
SIMULATED,Reuse,TD-TG1,ID,ERA,pairwise,0.790084388185654,0.7573839662447257,0.821756329113924,0.9875,1.5311959111865554
SIMULATED,Reuse,TD-TG1,ID,ERA,top_region,0.8101265822784808,0.7746835443037974,0.8418037974683544,0.9875,1.5311959111865554
SIMULATED,Reuse,TD-TG1,ID,ERA,best_of_4,0.6835443037974683,0.6139240506329114,0.7531645569620253,0.9875,1.5311959111865554
SIMULATED,Reuse,TD-TG1,ID,ERA,rank_regret,0.14135021097046416,0.10548523206751054,0.17932489451476794,0.9875,1.5311959111865554
SIMULATED,Reuse,TD-TG1,OOD,Single metric,pairwise,0.65,0.6145572916666666,0.6833333333333333,1.0,0.2237745201758259
SIMULATED,Reuse,TD-TG1,OOD,Single metric,top_region,0.6674999999999999,0.6300000000000001,0.70628125,1.0,0.2237745201758259
SIMULATED,Reuse,TD-TG1,OOD,Single metric,best_of_4,0.4,0.325,0.475,1.0,0.2237745201758259
SIMULATED,Reuse,TD-TG1,OOD,Single metric,rank_regret,0.3416666666666667,0.2895833333333333,0.3979166666666666,1.0,0.2237745201758259
SIMULATED,Reuse,TD-TG1,OOD,Metric ensemble,pairwise,0.7197916666666666,0.6874739583333332,0.7520833333333334,1.0,0.6244754055024242
SIMULATED,Reuse,TD-TG1,OOD,Metric ensemble,top_region,0.71875,0.68125,0.7549999999999999,1.0,0.6244754055024242
SIMULATED,Reuse,TD-TG1,OOD,Metric ensemble,best_of_4,0.53125,0.4625,0.6125,1.0,0.6244754055024242
SIMULATED,Reuse,TD-TG1,OOD,Metric ensemble,rank_regret,0.2458333333333333,0.19791666666666666,0.29166666666666663,1.0,0.6244754055024242
SIMULATED,Reuse,TD-TG1,OOD,Static judge,pairwise,0.7291666666666666,0.6979166666666667,0.7594010416666667,1.0,0.774501547063611
SIMULATED,Reuse,TD-TG1,OOD,Static judge,top_region,0.75625,0.7175,0.7925,1.0,0.774501547063611
SIMULATED,Reuse,TD-TG1,OOD,Static judge,best_of_4,0.58125,0.50625,0.65625,1.0,0.774501547063611
SIMULATED,Reuse,TD-TG1,OOD,Static judge,rank_regret,0.21666666666666665,0.17083333333333334,0.2604166666666667,1.0,0.774501547063611
SIMULATED,Reuse,TD-TG1,OOD,Static tools,pairwise,0.7373417721518988,0.7025316455696202,0.7721518987341771,0.9875,1.0131173098230446
SIMULATED,Reuse,TD-TG1,OOD,Static tools,top_region,0.7620253164556963,0.7253164556962025,0.7974683544303798,0.9875,1.0131173098230446
SIMULATED,Reuse,TD-TG1,OOD,Static tools,best_of_4,0.5822784810126582,0.5063291139240507,0.6582278481012658,0.9875,1.0131173098230446
SIMULATED,Reuse,TD-TG1,OOD,Static tools,rank_regret,0.20675105485232065,0.15822784810126583,0.25321729957805905,0.9875,1.0131173098230446
SIMULATED,Reuse,TD-TG1,OOD,Prompt optimization,pairwise,0.760548523206751,0.7289029535864978,0.7932489451476793,0.9875,1.140496486703155
SIMULATED,Reuse,TD-TG1,OOD,Prompt optimization,top_region,0.769620253164557,0.7354430379746835,0.8025316455696202,0.9875,1.140496486703155
SIMULATED,Reuse,TD-TG1,OOD,Prompt optimization,best_of_4,0.6012658227848101,0.5253164556962026,0.6708860759493671,0.9875,1.140496486703155
SIMULATED,Reuse,TD-TG1,OOD,Prompt optimization,rank_regret,0.18776371308016876,0.1476793248945148,0.22995780590717302,0.9875,1.140496486703155
SIMULATED,Reuse,TD-TG1,OOD,Program search,pairwise,0.7651991614255765,0.7337264150943396,0.7945492662473794,0.99375,1.378221814787636
SIMULATED,Reuse,TD-TG1,OOD,Program search,top_region,0.7836477987421382,0.7484276729559748,0.8163836477987422,0.99375,1.378221814787636
SIMULATED,Reuse,TD-TG1,OOD,Program search,best_of_4,0.5849056603773585,0.5094339622641509,0.660377358490566,0.99375,1.378221814787636
SIMULATED,Reuse,TD-TG1,OOD,Program search,rank_regret,0.19287211740041926,0.15298742138364776,0.23899371069182385,0.99375,1.378221814787636
SIMULATED,Reuse,TD-TG1,OOD,ERA,pairwise,0.7410901467505241,0.710691823899371,0.7735849056603774,0.99375,1.5321656316834522
SIMULATED,Reuse,TD-TG1,OOD,ERA,top_region,0.7547169811320754,0.722012578616352,0.7874213836477988,0.99375,1.5321656316834522
SIMULATED,Reuse,TD-TG1,OOD,ERA,best_of_4,0.610062893081761,0.5345911949685535,0.6794025157232703,0.99375,1.5321656316834522
SIMULATED,Reuse,TD-TG1,OOD,ERA,rank_regret,0.1970649895178197,0.1530398322851153,0.24737945492662472,0.99375,1.5321656316834522
SIMULATED,Reuse,TD-AR1,ID,Single metric,pairwise,0.6571729957805907,0.620253164556962,0.6930643459915612,0.9875,0.23254014473740528
SIMULATED,Reuse,TD-AR1,ID,Single metric,top_region,0.6670886075949366,0.6265822784810127,0.7050949367088607,0.9875,0.23254014473740528
SIMULATED,Reuse,TD-AR1,ID,Single metric,best_of_4,0.4240506329113924,0.3542721518987342,0.5001582278481012,0.9875,0.23254014473740528
SIMULATED,Reuse,TD-AR1,ID,Single metric,rank_regret,0.3227848101265823,0.26998945147679315,0.3776898734177215,0.9875,0.23254014473740528
SIMULATED,Reuse,TD-AR1,ID,Metric ensemble,pairwise,0.670859538784067,0.6352201257861636,0.709643605870021,0.99375,0.6606968851556841
SIMULATED,Reuse,TD-AR1,ID,Metric ensemble,top_region,0.6779874213836478,0.6389937106918239,0.7195283018867924,0.99375,0.6606968851556841
SIMULATED,Reuse,TD-AR1,ID,Metric ensemble,best_of_4,0.44025157232704404,0.36477987421383645,0.5157232704402516,0.99375,0.6606968851556841
SIMULATED,Reuse,TD-AR1,ID,Metric ensemble,rank_regret,0.3270440251572327,0.27253668763102723,0.3815513626834381,0.99375,0.6606968851556841
SIMULATED,Reuse,TD-AR1,ID,Static judge,pairwise,0.6822916666666667,0.6468489583333333,0.7197916666666666,1.0,0.7959275632508692
SIMULATED,Reuse,TD-AR1,ID,Static judge,top_region,0.6975,0.6599999999999999,0.735,1.0,0.7959275632508692
SIMULATED,Reuse,TD-AR1,ID,Static judge,best_of_4,0.5,0.425,0.5751562499999998,1.0,0.7959275632508692
SIMULATED,Reuse,TD-AR1,ID,Static judge,rank_regret,0.27083333333333337,0.22291666666666665,0.325,1.0,0.7959275632508692
SIMULATED,Reuse,TD-AR1,ID,Static tools,pairwise,0.69375,0.657265625,0.7281510416666667,1.0,1.0094997257263874
SIMULATED,Reuse,TD-AR1,ID,Static tools,top_region,0.7050000000000001,0.665,0.7449999999999999,1.0,1.0094997257263874
SIMULATED,Reuse,TD-AR1,ID,Static tools,best_of_4,0.50625,0.43125,0.58125,1.0,1.0094997257263874
SIMULATED,Reuse,TD-AR1,ID,Static tools,rank_regret,0.2854166666666667,0.2333333333333333,0.3375,1.0,1.0094997257263874
SIMULATED,Reuse,TD-AR1,ID,Prompt optimization,pairwise,0.7033542976939204,0.6708595387840671,0.7348008385744234,0.99375,1.1225753998266985
SIMULATED,Reuse,TD-AR1,ID,Prompt optimization,top_region,0.722012578616352,0.6867924528301886,0.7560062893081761,0.99375,1.1225753998266985
SIMULATED,Reuse,TD-AR1,ID,Prompt optimization,best_of_4,0.5094339622641509,0.4339622641509434,0.5911949685534591,0.99375,1.1225753998266985
SIMULATED,Reuse,TD-AR1,ID,Prompt optimization,rank_regret,0.24528301886792453,0.2012578616352201,0.2914046121593291,0.99375,1.1225753998266985
SIMULATED,Reuse,TD-AR1,ID,Program search,pairwise,0.7088607594936709,0.6751054852320675,0.7426160337552742,0.9875,1.39059210415199
SIMULATED,Reuse,TD-AR1,ID,Program search,top_region,0.7253164556962025,0.6873417721518987,0.760759493670886,0.9875,1.39059210415199
SIMULATED,Reuse,TD-AR1,ID,Program search,best_of_4,0.5506329113924051,0.46835443037974683,0.6329113924050633,0.9875,1.39059210415199
SIMULATED,Reuse,TD-AR1,ID,Program search,rank_regret,0.2468354430379747,0.19825949367088605,0.3017405063291139,0.9875,1.39059210415199
SIMULATED,Reuse,TD-AR1,ID,ERA,pairwise,0.7083333333333333,0.672890625,0.7447916666666666,1.0,1.545280289763106
SIMULATED,Reuse,TD-AR1,ID,ERA,top_region,0.7112499999999999,0.6687187499999999,0.74875,1.0,1.545280289763106
