provenance,setting,domain,component,input_group,delta_pp
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0052,-8.011913366773955
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0053,-0.9708312343821279
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0054,5.150457286242749
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0055,-2.8917052855929493
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0056,1.4441865945273227
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0057,3.0115876425387906
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0058,-0.6937043655421309
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0059,8.723761003295788
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0060,3.2443730492586855
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0061,8.147735645302298
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0062,3.923087098432024
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0063,-7.12436816884056
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0064,2.721698359696961
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0065,-5.243139259673323
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0066,1.4037872621486778
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0067,4.93748797133605
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0068,4.4479214868177905
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0069,10.060917788638685
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0070,5.083709069273412
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0071,-1.6600064713691152
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0072,8.486758940790015
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0073,-5.660392724728597
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0074,10.098884091675309
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0075,1.0825045322194693
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0076,-11.638858226782322
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0077,-10.853153797701907
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0078,8.510325889190508
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0079,-0.6728325710021885
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0080,-7.247138424677321
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0081,-5.41476676811991
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0082,5.195036322375284
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0083,6.009946494543565
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0084,3.992137038933498
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0085,5.962897172465773
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0086,6.213391496018778
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0087,2.6914935146798924
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0088,-3.1577972599780093
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0089,13.728818377533122
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0090,5.6415490560072294
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0091,4.654766609893856
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0092,-6.374858297141919
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0093,6.668454392065136
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0094,-2.900891484823015
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0095,9.69557163775856
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0096,4.79007546771027
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0097,1.5078271733800148
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0098,-3.776895422855204
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0099,1.5257991409708955
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0100,1.3893613358867656
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0101,-4.70677680913833
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0102,1.6080014270441225
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0103,7.919620006495374
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0104,9.070245427302874
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0105,10.438098941374946
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0106,4.151153143971572
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0107,-1.2092199055026598
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0108,0.37810251980960546
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0109,8.254828420092313
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0110,-5.488004771433796
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0111,-3.240913881182384
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0112,2.513281535087579
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0113,6.771700349560265
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0114,2.0068909585880217
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0115,-7.784639287653412
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0116,0.27151495418218285
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0117,1.5388400577883856
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0118,-12.131836644250546
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0119,-1.0030054180318628
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0120,-11.4389835465732
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0121,-1.6228145585368925
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0122,7.9519824227511915
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0123,6.306779861433983
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0124,10.521979919954791
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0125,8.296172616277868
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0126,10.037740643978111
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0127,8.008580158686717
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0128,1.5114971906123567
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0129,-2.7093896629664957
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0130,-16.459854773385782
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0131,9.91058541856575
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0132,10.808701080045747
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0133,-1.144908700208091
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0134,9.468009059828427
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0135,3.930435299033446
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0136,11.203270473101044
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0137,-0.749920825710757
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0138,-3.2696939382780137
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0139,3.0087264452058164
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0140,2.048881605031341
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0141,-9.445415092225126
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0142,-7.731753657509796
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0143,1.7209871816375388
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0144,3.972954398309751
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0145,-12.000158981074431
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0146,9.388220964020345
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0147,8.559828043004362
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0148,10.832626423592275
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0149,5.816134331242465
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0150,5.458908539379358
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0151,-8.607221478639232
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0152,-0.22980386397805508
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0153,-7.1207229739010405
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0154,-2.6115958026885844
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0155,4.104817355267429
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0156,17.7130172279261
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0157,-4.614702232515013
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0158,-8.868880231946394
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0159,-2.7633418471646483
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0000,-2.241944740487633
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0001,-6.210610184587887
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0002,4.438029424919431
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0003,8.387147782758552
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0004,-2.901969660213735
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0005,0.37467222867533645
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0006,2.8175653402578185
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0007,-3.408210862124888
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0008,3.6970233415840856
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0009,2.2660920188929228
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0010,-4.760341760246002
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0011,-1.9999792956434548
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0012,-1.9180740354658679
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0013,0.14530328624853794
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0014,7.800107710287385
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0015,-0.22690298548570675
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0016,19.501995501729887
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0017,6.528547485205687
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0018,2.484281712064506
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0019,-4.185793195768955
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0020,1.2236389222269595
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0021,4.772365704624878
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0022,-6.2460094127063535
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0023,2.309907226870968
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0024,0.14321560731315874
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0025,4.520736877557598
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0026,9.36089162701642
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0027,5.385644590940071
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0028,2.8567583514870867
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0029,14.468857645652898
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0030,-0.933107006415598
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0031,-1.8064364835503128
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0032,-5.885208900877375
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0033,0.6160053824381586
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0034,3.99487103826186
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0035,4.3737368776800585
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0036,3.0101726285286463
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0037,-6.421799984033926
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0038,-0.9575100849110743
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0039,2.015146720788926
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0040,7.458038467197451
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0041,4.333931810508943
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0042,10.790885341407268
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0043,-0.5816817566257746
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0044,-4.750861292777287
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0045,-4.712623463254237
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0046,-6.558143144161969
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0047,-5.095373745005411
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0048,8.983054604511224
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0049,7.783078424005261
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0050,-8.203866165614233
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0051,-12.796006888140193
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0052,5.148378316550485
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0053,4.7844787848719115
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0054,6.534193280649832
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0055,-8.407294956277829
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0056,5.035405277936407
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0057,-1.5796447371560092
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0058,-6.828724386493176
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0059,3.991811148273722
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0060,1.5189244749054778
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0061,3.1770663702095634
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0062,6.690840352154092
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0063,-4.021611474062807
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0064,-0.16105747510237634
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0065,3.466255892755028
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0066,2.403363221120833
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0067,2.0522923897018965
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0068,1.5387573386769415
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0069,-4.026730972075336
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0070,-16.16842639905672
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0071,-3.141226848320995
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0072,1.599359812144903
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0073,3.2478006132129287
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0074,-1.5380068310363266
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0075,17.687211029971127
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0076,-5.179790760547558
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0077,-5.867407638229423
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0078,-7.010295605271104
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0079,2.276029616321934
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0080,6.280676510092798
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0081,-4.916948557032567
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0082,1.0849539548159246
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0083,3.8897118541231106
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0084,4.199177311468011
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0085,-1.877938813502256
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0086,-1.265629746308376
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0087,-18.33091546436042
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0088,7.9692815934791295
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0089,-10.246438171672082
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0090,9.119646625179387
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0091,-7.560939188558507
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0092,-0.9244053990560142
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0093,16.51384729127259
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0094,1.310931803133163
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0095,-1.6586750595504056
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0096,-6.730374757402844
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0097,5.415703649886305
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0098,2.1913003205377684
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0099,-10.89968716155723
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0100,17.768335727983885
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0101,-0.023496141162037354
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0102,1.6514049431286946
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0103,0.29492843357927767
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0104,-1.5454705221894351
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0105,7.468256036628697
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0106,4.317535504125294
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0107,4.00902699796321
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0108,1.5335279219301672
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0109,9.237065051369784
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0110,8.737974407914137
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0111,6.229468299355213
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0112,-1.0761847060038172
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0113,7.458751278928297
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0114,-4.68784694173814
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0115,-1.216349352765941
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0116,10.090665830154713
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0117,0.1434652299946445
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0118,-10.310788762747158
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0119,9.022490376336748
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0120,2.9820642558112955
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0121,-3.6008076125384876
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0122,0.30258759417201153
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0123,-1.2226073380557239
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0124,6.297259012559405
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0125,16.45112729659405
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0126,9.755451218408764
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0127,7.048642779785256
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0128,-1.8703120786052132
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0129,-10.018801485955045
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0130,-9.14629927928825
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0131,-5.7497426394164535
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0132,12.464848327119638
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0133,-1.459982779258418
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0134,3.5979510889796282
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0135,-2.924547414530045
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0136,-4.877883772202191
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0137,-3.6099219678329795
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0138,6.693095848233085
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0139,-6.836868913207798
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0140,-0.43939647390534486
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0141,-8.148678845234759
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0142,0.4150366809838292
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0143,6.584849716280395
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0144,-3.5189634669134997
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0145,6.510539225218507
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0146,9.569112070495422
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0147,-2.0960597509267935
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0148,3.442209703420458
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0149,0.20555213846579734
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0150,6.118078560765074
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0151,5.1769225447800515
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0152,1.165291967715051
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0153,3.0897835649374756
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0154,-6.854566143195603
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0155,5.242094954688332
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0156,2.819979025674713
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0157,7.172854594421322
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0158,-1.4562491031348057
SIMULATED,Reuse,TD-SV4,K,SIM-ABL-0-0159,3.8128564467383397
SIMULATED,Reuse,TD-SV4,V,SIM-ABL-0-0000,11.632918258362533
SIMULATED,Reuse,TD-SV4,V,SIM-ABL-0-0001,-1.6982821968759154
SIMULATED,Reuse,TD-SV4,V,SIM-ABL-0-0002,1.0557625105369945
SIMULATED,Reuse,TD-SV4,V,SIM-ABL-0-0003,-7.313612375655895
SIMULATED,Reuse,TD-SV4,V,SIM-ABL-0-0004,-1.415386733862114
SIMULATED,Reuse,TD-SV4,V,SIM-ABL-0-0005,7.004464598012644
