provenance,domain,family,method,split,requested_groups,complete_groups,agreement_pct,lower_pct,upper_pct
SIMULATED,TD-TG4,TG,Static judge,OOD,160,155,70.64516127741936,67.20430107725807,74.30107523241935
SIMULATED,TD-TG4,TG,Static tools,OOD,160,155,70.64516125806452,67.41935482564516,73.9784946001613
SIMULATED,TD-TG4,TG,Prompt optimization,OOD,160,155,71.72043007741935,68.6021504967742,74.94623652967742
SIMULATED,TD-TG4,TG,Program search,OOD,160,155,73.76344082580646,70.43010746419355,76.98924725209677
SIMULATED,TD-TG4,TG,ERA,OOD,160,155,71.29032253548388,67.95698925080644,74.62365586467743
SIMULATED,TD-TG5,TG,Static judge,OOD,160,159,67.19077564150943,63.30974834874215,71.38364775471699
SIMULATED,TD-TG5,TG,Static tools,OOD,160,159,68.97274628930818,65.82547165676101,72.01257855990568
SIMULATED,TD-TG5,TG,Prompt optimization,OOD,160,159,72.7463312327044,69.18238996210691,76.10324948742137
SIMULATED,TD-TG5,TG,Program search,OOD,160,159,71.59329137106918,68.5534591004717,74.63312364795598
SIMULATED,TD-TG5,TG,ERA,OOD,160,159,72.53668758490565,69.18238989921383,75.89098523946542
SIMULATED,TD-AR1,AR,Static judge,OOD,160,152,69.73684210526315,66.44736842763159,72.80975878585525
SIMULATED,TD-AR1,AR,Static tools,OOD,160,152,68.7499999868421,65.24122807220395,72.14912276332235
SIMULATED,TD-AR1,AR,Prompt optimization,OOD,160,152,69.95614028289474,65.78947367088817,73.46491221118421
SIMULATED,TD-AR1,AR,Program search,OOD,160,152,70.8333333355263,67.65350876282893,74.12554828536183
SIMULATED,TD-AR1,AR,ERA,OOD,160,152,66.33771928289474,62.71929824342105,69.62719296726974
SIMULATED,TD-AR2,AR,Static judge,OOD,160,156,68.0555555,64.31623924983974,71.58119651923076
SIMULATED,TD-AR2,AR,Static tools,OOD,160,156,68.48290596153846,64.84775638814104,72.11538458333334
SIMULATED,TD-AR2,AR,Prompt optimization,OOD,160,156,69.97863243589745,66.2393162113782,73.61378203461537
SIMULATED,TD-AR2,AR,Program search,OOD,160,156,72.32905980128204,69.01709397435897,75.42735041041668
SIMULATED,TD-AR2,AR,ERA,OOD,160,156,70.19230767307693,66.77083331073717,73.39743585272437
SIMULATED,TD-AR3,AR,Static judge,OOD,160,152,73.13596490131579,70.17269733240131,76.0964912174342
SIMULATED,TD-AR3,AR,Static tools,OOD,160,152,70.06578944736842,66.6666666575658,73.68421046759867
SIMULATED,TD-AR3,AR,Prompt optimization,OOD,160,152,73.2456139868421,69.73410081299342,76.64747804884867
SIMULATED,TD-AR3,AR,Program search,OOD,160,152,77.63157888815789,74.88760954983552,80.48245607911184
SIMULATED,TD-AR3,AR,ERA,OOD,160,152,74.23245611184211,71.49122804588815,77.08333331628289
SIMULATED,TD-AR4,AR,Static judge,OOD,160,157,65.18046708917198,61.5711253116242,68.89596602563695
SIMULATED,TD-AR4,AR,Static tools,OOD,160,157,68.57749463694267,65.4989383692675,71.7622080066879
SIMULATED,TD-AR4,AR,Prompt optimization,OOD,160,157,70.16985137579617,66.77282381464968,73.35721867850317
SIMULATED,TD-AR4,AR,Program search,OOD,160,157,70.2760084522293,66.6666666302548,73.88535026751592
SIMULATED,TD-AR4,AR,ERA,OOD,160,157,67.83439491719744,64.540870525,71.12526540127388
SIMULATED,TD-AR5,AR,Static judge,OOD,160,156,68.69658119871794,65.38461539086538,72.22222221153845
SIMULATED,TD-AR5,AR,Static tools,OOD,160,156,69.44444439102563,66.02564098076923,72.86324778846154
SIMULATED,TD-AR5,AR,Prompt optimization,OOD,160,156,71.15384608333332,67.94871789086538,74.14529905785258
SIMULATED,TD-AR5,AR,Program search,OOD,160,156,69.33760685256411,65.70512824983975,72.86324788557693
SIMULATED,TD-AR5,AR,ERA,OOD,160,156,72.75641025641025,69.55128207676282,75.85737180448716
