provenance,domain,method,x_inches,zero_inches,full_scale_height_inches,mean_inches,lower_inches,upper_inches
SIMULATED,TD-SV5,Program search,1.3524999999999998,0.41,0.55,0.8098958330468751,0.7915624997241406,0.8282291662664845
SIMULATED,TD-SV5,ERA,1.3824999999999998,0.41,0.55,0.818489583046875,0.8013020829437502,0.8362499997258594
SIMULATED,TD-SV6,Static judge,1.4674999999999998,0.41,0.55,0.7837634407774194,0.7630645162345968,0.8032795696331452
SIMULATED,TD-SV6,Static tools,1.4974999999999998,0.41,0.55,0.7884946236322581,0.768387096879758,0.808602150420242
SIMULATED,TD-SV6,Prompt optimization,1.5274999999999999,0.41,0.55,0.7873118276967741,0.7665981178614516,0.8074341395652418
SIMULATED,TD-SV6,Program search,1.5574999999999999,0.41,0.55,0.7902688171096774,0.7719354839064516,0.8074193545938709
SIMULATED,TD-SV6,ERA,1.5875,0.41,0.55,0.7861290322225807,0.767204300979758,0.8038857527177419
SIMULATED,TD-IG1,Static judge,1.7924999999999995,0.41,0.55,0.7960576921314104,0.7772542733027245,0.8154487176684295
SIMULATED,TD-IG1,Static tools,1.8224999999999996,0.41,0.55,0.7966452989807692,0.779604700736298,0.8136858972966345
SIMULATED,TD-IG1,Prompt optimization,1.8524999999999996,0.41,0.55,0.8048717947660257,0.7843055554959135,0.8248651175580929
SIMULATED,TD-IG1,Program search,1.8824999999999996,0.41,0.55,0.8013461537051282,0.7866559826800481,0.8166386217745992
SIMULATED,TD-IG1,ERA,1.9124999999999996,0.41,0.55,0.8301388885480769,0.8119230766745192,0.8466065703497595
SIMULATED,TD-IG2,Static judge,1.9974999999999996,0.41,0.55,0.7790322582064517,0.7589247315240322,0.7985483871322581
SIMULATED,TD-IG2,Static tools,2.0275,0.41,0.55,0.8026881719129033,0.7849462363935484,0.820430107432258
SIMULATED,TD-IG2,Prompt optimization,2.0574999999999997,0.41,0.55,0.8009139782225807,0.7819892470143549,0.8204301071146773
SIMULATED,TD-IG2,Program search,2.0874999999999995,0.41,0.55,0.811559139583871,0.7932258063096773,0.8304838706874194
SIMULATED,TD-IG2,ERA,2.1174999999999997,0.41,0.55,0.7772580644806452,0.7571357525412096,0.7967741934783065
SIMULATED,TD-IG3,Static judge,2.2024999999999992,0.41,0.55,0.7940717296329114,0.7720253163852058,0.8143776368647944
SIMULATED,TD-IG3,Static tools,2.2324999999999995,0.41,0.55,0.8074156116170886,0.7871097045940665,0.8271413498869462
SIMULATED,TD-IG3,Prompt optimization,2.2624999999999993,0.41,0.55,0.8097362865949367,0.7934915609493671,0.8265611809962816
SIMULATED,TD-IG3,Program search,2.292499999999999,0.41,0.55,0.8132172995664558,0.795232067625712,0.8306223629306961
SIMULATED,TD-IG3,ERA,2.3224999999999993,0.41,0.55,0.8393248939462026,0.8236603370537975,0.8555696196962026
SIMULATED,TD-IG4,Static judge,2.4074999999999993,0.41,0.55,0.8174731179129033,0.7997311826064517,0.8340322577105646
SIMULATED,TD-IG4,Static tools,2.4374999999999996,0.41,0.55,0.8133333331677419,0.7979569890571774,0.8287096769944355
SIMULATED,TD-IG4,Prompt optimization,2.4674999999999994,0.41,0.55,0.8233870964903226,0.8062365589023387,0.8405376341492743
SIMULATED,TD-IG4,Program search,2.497499999999999,0.41,0.55,0.8156989245064517,0.797365591231371,0.8340470429312097
SIMULATED,TD-IG4,ERA,2.5274999999999994,0.41,0.55,0.8340322577096775,0.8174731180539516,0.8511827952266936
SIMULATED,TD-IG5,Static judge,2.6124999999999994,0.41,0.55,0.7719957534936306,0.750976645178344,0.7930148614936305
SIMULATED,TD-IG5,Static tools,2.6424999999999996,0.41,0.55,0.7813375795477706,0.7620554668886943,0.8011889594976911
SIMULATED,TD-IG5,Prompt optimization,2.6724999999999994,0.41,0.55,0.7865923565477706,0.7690764330851114,0.80585987229793
SIMULATED,TD-IG5,Program search,2.7024999999999992,0.41,0.55,0.7900955411910828,0.7708280253726114,0.8081953287160031
SIMULATED,TD-IG5,ERA,2.7324999999999995,0.41,0.55,0.7877600847038218,0.7684925688144109,0.8064437365344745
SIMULATED,TD-IG6,Static judge,2.8174999999999994,0.41,0.55,0.7854246283917197,0.7649893844504776,0.8041082801496815
SIMULATED,TD-IG6,Static tools,2.8474999999999997,0.41,0.55,0.7895116771305732,0.771411889467277,0.8076114646178344
SIMULATED,TD-IG6,Prompt optimization,2.8774999999999995,0.41,0.55,0.7877600849490446,0.7684925692663217,0.8058598725422772
SIMULATED,TD-IG6,Program search,2.9074999999999993,0.41,0.55,0.8081953289936306,0.790095541190207,0.8262951166919585
SIMULATED,TD-IG6,ERA,2.9374999999999996,0.41,0.55,0.8116985134267516,0.7941825899982484,0.8286305727588377
SIMULATED,TD-TG1,Static judge,3.142499999999999,0.41,0.55,0.8099999997857144,0.7915476188553572,0.827857142574107
SIMULATED,TD-TG1,Static tools,3.1724999999999994,0.41,0.55,0.8189285711785714,0.8010714284285714,0.8361904756107144
SIMULATED,TD-TG1,Prompt optimization,3.2024999999999992,0.41,0.55,0.8284523807499999,0.8111904759276787,0.8457142853580357
SIMULATED,TD-TG1,Program search,3.232499999999999,0.41,0.55,0.8308333328571429,0.81357142810625,0.8480952373955357
SIMULATED,TD-TG1,ERA,3.2624999999999993,0.41,0.55,0.8201190475,0.8022619047500001,0.8373809522142857
SIMULATED,TD-TG2,Static judge,3.3474999999999993,0.41,0.55,0.7819892470161292,0.7618817202973387,0.802688171451613
SIMULATED,TD-TG2,Static tools,3.3774999999999995,0.41,0.55,0.7949999999290323,0.7778494623765324,0.8115591397621775
SIMULATED,TD-TG2,Prompt optimization,3.4074999999999993,0.41,0.55,0.7796236557838709,0.7595161289967742,0.7991397848179033
SIMULATED,TD-TG2,Program search,3.437499999999999,0.41,0.55,0.7908602147935484,0.7683723114781451,0.8121653224174192
SIMULATED,TD-TG2,ERA,3.4674999999999994,0.41,0.55,0.7808064514,0.761290322331371,0.798548386883871
SIMULATED,TD-TG3,Static judge,3.552499999999999,0.41,0.55,0.8132172993227849,0.7963924050937501,0.8294620249352849
SIMULATED,TD-TG3,Static tools,3.582499999999999,0.41,0.55,0.8265611812373418,0.8091561180497626,0.8428059068829115
SIMULATED,TD-TG3,Prompt optimization,3.612499999999999,0.41,0.55,0.8074156116518987,0.789430379779905,0.8265611812730222
SIMULATED,TD-TG3,Program search,3.6424999999999987,0.41,0.55,0.8230801684746836,0.8062552740063291,0.8410654005198576
SIMULATED,TD-TG3,ERA,3.672499999999999,0.41,0.55,0.8079957805094937,0.7905762129368672,0.8271413499591773
SIMULATED,TD-TG4,Static judge,3.757499999999999,0.41,0.55,0.7985483870258065,0.7796236559249194,0.8186559137783065
SIMULATED,TD-TG4,Static tools,3.787499999999999,0.41,0.55,0.7985483869193548,0.7808064515410484,0.8168817203008871
SIMULATED,TD-TG4,Prompt optimization,3.817499999999999,0.41,0.55,0.8044623654258065,0.7873118277322582,0.8222043009132258
SIMULATED,TD-TG4,Program search,3.847499999999999,0.41,0.55,0.8156989245419355,0.7973655910530646,0.8334408598865322
SIMULATED,TD-TG4,ERA,3.877499999999999,0.41,0.55,0.8020967739451613,0.7837634408794355,0.8204301072557258
SIMULATED,TD-TG5,Static judge,3.962499999999999,0.41,0.55,0.7795492660283019,0.7582036159180818,0.8026100626509434
SIMULATED,TD-TG5,Static tools,3.9924999999999993,0.41,0.55,0.789350104591195,0.7720400941121855,0.8060691820794812
SIMULATED,TD-TG5,Prompt optimization,4.022499999999999,0.41,0.55,0.8101048217798743,0.790503144791588,0.8285678721808175
SIMULATED,TD-TG5,Program search,4.052499999999999,0.41,0.55,0.8037631025408805,0.7870440250525943,0.8204821800637578
SIMULATED,TD-TG5,ERA,4.082499999999999,0.41,0.55,0.8089517817169811,0.790503144445676,0.8274004188170598
SIMULATED,TD-AR1,Static judge,4.2875,0.41,0.55,0.7935526315789473,0.7754605263519738,0.8104536733222039
SIMULATED,TD-AR1,Static tools,4.317499999999999,0.41,0.55,0.7881249999276316,0.7688267543971218,0.8068201751982729
SIMULATED,TD-AR1,Prompt optimization,4.347499999999999,0.41,0.55,0.794758771555921,0.7718421051898849,0.8140570171615131
SIMULATED,TD-AR1,Program search,4.3774999999999995,0.41,0.55,0.7995833333453947,0.7820942981955592,0.81769051556949
SIMULATED,TD-AR1,ERA,4.407499999999999,0.41,0.55,0.774857456055921,0.7549561403388158,0.7929495613199835
SIMULATED,TD-AR2,Static judge,4.4925,0.41,0.55,0.78430555525,0.7637393158741186,0.8036965808557692
SIMULATED,TD-AR2,Static tools,4.522499999999999,0.41,0.55,0.7866559827884616,0.7666626601347757,0.8066346152083333
SIMULATED,TD-AR2,Prompt optimization,4.552499999999999,0.41,0.55,0.794882478397436,0.7743162391625801,0.8148758011903845
SIMULATED,TD-AR2,Program search,4.5825,0.41,0.55,0.8078098289070512,0.7895940168589743,0.8248504272572919
SIMULATED,TD-AR2,ERA,4.612499999999999,0.41,0.55,0.7960576922019231,0.7772395832090544,0.8136858971899841
SIMULATED,TD-AR3,Static judge,4.6975,0.41,0.55,0.8122478069572369,0.7959498353282073,0.8285307016958882
SIMULATED,TD-AR3,Static tools,4.727499999999999,0.41,0.55,0.7953618419605263,0.7766666666166119,0.8152631575717928
SIMULATED,TD-AR3,Prompt optimization,4.757499999999999,0.41,0.55,0.8128508769276315,0.7935375544714638,0.8315611292686677
SIMULATED,TD-AR3,Program search,4.7875,0.41,0.55,0.8369736838848685,0.8218818525240954,0.8526535084351152
SIMULATED,TD-AR3,ERA,4.817499999999999,0.41,0.55,0.8182785086151316,0.8032017542523848,0.8339583332395559
SIMULATED,TD-AR4,Static judge,4.902499999999999,0.41,0.55,0.7684925689904459,0.7486411892139331,0.7889278131410032
SIMULATED,TD-AR4,Static tools,4.932499999999998,0.41,0.55,0.7871762205031847,0.7702441610309713,0.8046921440367835
SIMULATED,TD-AR4,Prompt optimization,4.962499999999999,0.41,0.55,0.7959341825668789,0.7772505309805733,0.8134647027317674
SIMULATED,TD-AR4,Program search,4.992499999999999,0.41,0.55,0.7965180464872612,0.7766666664664014,0.8163694264713375
SIMULATED,TD-AR4,ERA,5.022499999999998,0.41,0.55,0.783089172044586,0.7649747878875,0.8011889597070063
SIMULATED,TD-AR5,Static judge,5.107499999999999,0.41,0.55,0.7878311965929486,0.7696153846497595,0.8072222221634615
SIMULATED,TD-AR5,Static tools,5.137499999999998,0.41,0.55,0.7919444441506409,0.7731410253942308,0.8107478628365385
SIMULATED,TD-AR5,Prompt optimization,5.167499999999999,0.41,0.55,0.8013461534583333,0.7837179483997596,0.8177991448181892
SIMULATED,TD-AR5,Program search,5.197499999999999,0.41,0.55,0.7913568376891026,0.7713782053741186,0.8107478633706731
SIMULATED,TD-AR5,ERA,5.227499999999998,0.41,0.55,0.8101602564102564,0.7925320514221954,0.8272155449246794
