provenance,domain,family,method,split,requested_groups,successes,best_of_4_pct
SIMULATED,TD-TG2,TG,Prompt optimization,OOD,160,73,45.625
SIMULATED,TD-TG2,TG,Program search,OOD,160,87,54.375
SIMULATED,TD-TG2,TG,ERA,OOD,160,84,52.5
SIMULATED,TD-TG3,TG,Static judge,OOD,160,84,52.5
SIMULATED,TD-TG3,TG,Static tools,OOD,160,91,56.875
SIMULATED,TD-TG3,TG,Prompt optimization,OOD,160,88,55.0
SIMULATED,TD-TG3,TG,Program search,OOD,160,96,60.0
SIMULATED,TD-TG3,TG,ERA,OOD,160,83,51.875
SIMULATED,TD-TG4,TG,Static judge,OOD,160,84,52.5
SIMULATED,TD-TG4,TG,Static tools,OOD,160,88,55.0
SIMULATED,TD-TG4,TG,Prompt optimization,OOD,160,81,50.625
SIMULATED,TD-TG4,TG,Program search,OOD,160,85,53.125
SIMULATED,TD-TG4,TG,ERA,OOD,160,82,51.25
SIMULATED,TD-TG5,TG,Static judge,OOD,160,73,45.625
SIMULATED,TD-TG5,TG,Static tools,OOD,160,76,47.5
SIMULATED,TD-TG5,TG,Prompt optimization,OOD,160,94,58.75
SIMULATED,TD-TG5,TG,Program search,OOD,160,84,52.5
SIMULATED,TD-TG5,TG,ERA,OOD,160,82,51.25
SIMULATED,TD-AR1,AR,Static judge,OOD,160,75,46.875
SIMULATED,TD-AR1,AR,Static tools,OOD,160,82,51.25
SIMULATED,TD-AR1,AR,Prompt optimization,OOD,160,85,53.125
SIMULATED,TD-AR1,AR,Program search,OOD,160,89,55.625
SIMULATED,TD-AR1,AR,ERA,OOD,160,81,50.625
SIMULATED,TD-AR2,AR,Static judge,OOD,160,80,50.0
SIMULATED,TD-AR2,AR,Static tools,OOD,160,78,48.75
SIMULATED,TD-AR2,AR,Prompt optimization,OOD,160,86,53.75
SIMULATED,TD-AR2,AR,Program search,OOD,160,94,58.75
SIMULATED,TD-AR2,AR,ERA,OOD,160,82,51.25
SIMULATED,TD-AR3,AR,Static judge,OOD,160,92,57.5
SIMULATED,TD-AR3,AR,Static tools,OOD,160,79,49.375
SIMULATED,TD-AR3,AR,Prompt optimization,OOD,160,89,55.625
SIMULATED,TD-AR3,AR,Program search,OOD,160,92,57.5
SIMULATED,TD-AR3,AR,ERA,OOD,160,94,58.75
SIMULATED,TD-AR4,AR,Static judge,OOD,160,73,45.625
SIMULATED,TD-AR4,AR,Static tools,OOD,160,78,48.75
SIMULATED,TD-AR4,AR,Prompt optimization,OOD,160,78,48.75
SIMULATED,TD-AR4,AR,Program search,OOD,160,79,49.375
SIMULATED,TD-AR4,AR,ERA,OOD,160,69,43.125
SIMULATED,TD-AR5,AR,Static judge,OOD,160,73,45.625
SIMULATED,TD-AR5,AR,Static tools,OOD,160,80,50.0
SIMULATED,TD-AR5,AR,Prompt optimization,OOD,160,73,45.625
SIMULATED,TD-AR5,AR,Program search,OOD,160,80,50.0
SIMULATED,TD-AR5,AR,ERA,OOD,160,87,54.375
