provenance,domain,family,setting,split,method,requested_groups,complete_groups,mean,lower,upper,best_of_4,cost_units,x_inches,y_inches
SIMULATED,TD-IG2,Images / 3D,Reuse,OOD,Static judge,120,120,0.6666666669166667,0.6277430555395832,0.7069444444187502,0.4083333333333333,0.7982326666666666,3.458946927272727,2.1958555566470137
SIMULATED,TD-IG2,Images / 3D,Reuse,OOD,Static tools,120,119,0.7142857140336134,0.6792366940819328,0.7478991593277311,0.5126050420168067,1.0202711166666667,3.8767829195454544,2.403752379851751
SIMULATED,TD-IG2,Images / 3D,Reuse,OOD,Prompt optimization,120,119,0.7114845932773111,0.6708683466386556,0.7507002792457984,0.5462184873949579,1.1567659833333332,4.133641441363636,2.391523153483194
SIMULATED,TD-IG2,Images / 3D,Reuse,OOD,Program search,120,120,0.7347222220000001,0.695798610475,0.7722222219166667,0.5916666666666667,1.4184805,4.626140577272727,2.4929747675483345
SIMULATED,TD-IG2,Images / 3D,Reuse,OOD,ERA,120,120,0.6486111111666666,0.6083333337375001,0.6888888890916667,0.45,1.5246627000000001,4.8259561718181825,2.1170280095018055
SIMULATED,TD-IG3,Images / 3D,Collect,OOD,Static judge,120,120,0.7069444438333332,0.6624999999041666,0.7472222209229167,0.5416666666666666,0.7938896500000001,3.4507741595454546,2.3717016177023607
SIMULATED,TD-IG3,Images / 3D,Collect,OOD,Static tools,120,120,0.7138888885833334,0.6722222220791666,0.7499999993375001,0.5416666666666666,0.9913976166666667,3.8224482422727273,2.4020199060734035
SIMULATED,TD-IG3,Images / 3D,Collect,OOD,Prompt optimization,120,120,0.7277777771666667,0.6916666662500001,0.7597222215854167,0.6,1.1435327333333334,4.108738870909091,2.462656478813472
SIMULATED,TD-IG3,Images / 3D,Collect,OOD,Program search,120,118,0.7330508477118644,0.7005296612266949,0.7683615817881356,0.576271186440678,1.4138366083333334,4.6174016175,2.4856778259687142
SIMULATED,TD-IG3,Images / 3D,Collect,OOD,ERA,120,120,0.7902777765833334,0.7541666655,0.8236111100041666,0.65,1.5528845,4.879064468181818,2.73552105960007
SIMULATED,TD-IG4,Images / 3D,Collect,OOD,Static judge,120,120,0.741666666,0.6986111105000001,0.7805555548354166,0.5583333333333333,0.804594225,3.470918223409091,2.5232930526450006
SIMULATED,TD-IG4,Images / 3D,Collect,OOD,Static tools,120,120,0.7402777774166668,0.7083333334104167,0.7708333328333334,0.5583333333333333,0.98844205,3.816886403181818,2.517229396571598
SIMULATED,TD-IG4,Images / 3D,Collect,OOD,Prompt optimization,120,117,0.7450142445299146,0.7079772075192309,0.7792022785470086,0.5811965811965812,1.1393464666666666,4.100861078181818,2.537908022576852
SIMULATED,TD-IG4,Images / 3D,Collect,OOD,Program search,120,119,0.7352941173109243,0.6974789916806723,0.7717086829453781,0.5126050420168067,1.4038228666666666,4.5985575763636355,2.495471567159944
SIMULATED,TD-IG4,Images / 3D,Collect,OOD,ERA,120,119,0.7717086828571429,0.736659663394958,0.8053571424768907,0.5798319327731093,1.5038301499999998,4.786753100454545,2.6544514912404766
SIMULATED,TD-IG5,Images / 3D,Reuse,OOD,Static judge,120,120,0.6694444439999999,0.6277777776583334,0.7152777771708335,0.4583333333333333,0.7981526916666667,3.4587964288636366,2.2079828684300002
SIMULATED,TD-IG5,Images / 3D,Reuse,OOD,Static tools,120,119,0.6736694676470588,0.6316176467647059,0.7142857141176472,0.46218487394957986,1.0063456333333332,3.8505776918181818,2.2264286175024512
SIMULATED,TD-IG5,Images / 3D,Reuse,OOD,Prompt optimization,120,119,0.6918767505882353,0.6554621852878152,0.7282913160588236,0.5042016806722689,1.1624981333333333,4.144428305454546,2.3059185802764706
SIMULATED,TD-IG5,Images / 3D,Reuse,OOD,Program search,120,119,0.7030812321008405,0.6652661065483193,0.740896357817227,0.5630252100840336,1.4284995666666667,4.644994639090909,2.3548354791469195
SIMULATED,TD-IG5,Images / 3D,Reuse,OOD,ERA,120,120,0.69861111075,0.6583333332479168,0.7374999995020834,0.475,1.5009928250000002,4.7814137706818185,2.3353196743493756
SIMULATED,TD-IG6,Images / 3D,Collect,OOD,Static judge,120,120,0.6833333332499999,0.64027777824375,0.7222222220854168,0.4166666666666667,0.7776939000000002,3.4202967027272733,2.268619444080625
SIMULATED,TD-IG6,Images / 3D,Collect,OOD,Static tools,120,118,0.6906779659322034,0.6468573441144069,0.7259887000889831,0.4406779661016949,1.0273946333333333,3.8901880827272723,2.300684886265678
SIMULATED,TD-IG6,Images / 3D,Collect,OOD,Prompt optimization,120,119,0.6764705882352943,0.6372549021785714,0.7184873945483193,0.453781512605042,1.1115378500000002,4.048530317727273,2.2386578431372555
SIMULATED,TD-IG6,Images / 3D,Collect,OOD,Program search,120,120,0.72638888875,0.6861111112458333,0.7624999998333333,0.48333333333333334,1.3739660583333335,4.54237249159091,2.4565928234677084
SIMULATED,TD-IG6,Images / 3D,Collect,OOD,ERA,120,120,0.7402777770833333,0.7041666664083334,0.776388888,0.5333333333333333,1.5701197916666667,4.911498153409091,2.5172293951163196
SIMULATED,TD-TG1,Text generation,Reuse,OOD,Static judge,144,144,0.7361111106944445,0.7025173610017362,0.7662037035416667,0.5833333333333334,0.7706179722222222,3.4069810931818183,2.499038424106829
SIMULATED,TD-TG1,Text generation,Reuse,OOD,Static tools,144,142,0.7511737084507042,0.7194835678133803,0.7829225345950703,0.5915492957746479,1.018048576388889,3.872600502840909,2.5647992154776995
SIMULATED,TD-TG1,Text generation,Reuse,OOD,Prompt optimization,144,142,0.7605633797887325,0.721801642778169,0.7946302812341549,0.6126760563380281,1.1328676875,4.08866919375,2.605792955594308
SIMULATED,TD-TG1,Text generation,Reuse,OOD,Program search,144,143,0.7738927729370629,0.7423951038129372,0.8053904419283218,0.5944055944055944,1.3786783819444444,4.551240227840909,2.6639868645143947
SIMULATED,TD-TG1,Text generation,Reuse,OOD,ERA,144,143,0.7459207457342657,0.7132867132832168,0.7820512819632868,0.6013986013986014,1.527899111111111,4.832046509090909,2.5418656557515154
SIMULATED,TD-TG2,Text generation,Collect,OOD,Static judge,144,143,0.6759906754545456,0.6398601393653846,0.7132867127325175,0.44755244755244755,0.779275875,3.4232736920454547,2.2365626239219707
SIMULATED,TD-TG2,Text generation,Collect,OOD,Static tools,144,144,0.7118055553472222,0.6793981483281251,0.7453703702083333,0.5347222222222222,1.070899020833333,3.972055430113636,2.392924420386748
SIMULATED,TD-TG2,Text generation,Collect,OOD,Prompt optimization,144,143,0.678321678041958,0.6375291374038462,0.7109848484318182,0.4825174825174825,1.158152625,4.136250848863637,2.2467393927181813
SIMULATED,TD-TG2,Text generation,Collect,OOD,Program search,144,141,0.6820330965248227,0.6394503541400709,0.7210401887251773,0.5319148936170213,1.4145495138888888,4.6187431761363635,2.2629428272446224
SIMULATED,TD-TG2,Text generation,Collect,OOD,ERA,144,144,0.6724537033333333,0.6377025458038194,0.7083622682291667,0.5208333333333334,1.5226420416666666,4.822153660227272,2.221120793136111
SIMULATED,TD-TG3,Text generation,Reuse,OOD,Static judge,144,142,0.7276995300704225,0.6971830978855635,0.7547241780669014,0.5211267605633803,0.8044222569444445,3.470594610795455,2.4623148650324533
SIMULATED,TD-TG3,Text generation,Reuse,OOD,Static tools,144,144,0.7476851848611111,0.7141203702673612,0.7812499997274305,0.5347222222222222,0.9940066944444443,3.827358052272727,2.549568902906135
SIMULATED,TD-TG3,Text generation,Reuse,OOD,Prompt optimization,144,144,0.7175925922916666,0.6840277774288194,0.7511863425347223,0.5416666666666666,1.1276778055555556,4.078902779545455,2.4181896591800345
SIMULATED,TD-TG3,Text generation,Reuse,OOD,Program search,144,144,0.7546296289583334,0.7199074068038195,0.7847222214600694,0.5972222222222222,1.4162600277777777,4.6219620522727265,2.5798871884272576
SIMULATED,TD-TG3,Text generation,Reuse,OOD,ERA,144,144,0.7361111109027778,0.70254629625,0.7697048610711805,0.5277777777777778,1.5259239791666666,4.828329669886363,2.4990384250163773
SIMULATED,TD-TG4,Text generation,Collect,OOD,Static judge,144,144,0.7106481480555557,0.6724537038177084,0.7476851847986111,0.5486111111111112,0.8075825972222223,3.4765417965909093,2.3878713730525467
SIMULATED,TD-TG4,Text generation,Collect,OOD,Static tools,144,143,0.706293706013986,0.6689685310174825,0.7436188810192308,0.5454545454545454,1.0193191041666667,3.8749914051136365,2.3688606048393943
SIMULATED,TD-TG4,Text generation,Collect,OOD,Prompt optimization,144,143,0.7144522141258742,0.679487179368881,0.7517482511888113,0.5104895104895105,1.1256352222222223,4.075059009090909,2.4044792915045465
SIMULATED,TD-TG4,Text generation,Collect,OOD,Program search,144,143,0.7284382281118881,0.6934731933496504,0.7599358973723777,0.5244755244755245,1.3789175972222223,4.5516903875,2.465539897565151
SIMULATED,TD-TG4,Text generation,Collect,OOD,ERA,144,142,0.7265258211267605,0.6912852104630283,0.759389670705986,0.5352112676056338,1.565315798611111,4.902457911931818,2.457190647402582
SIMULATED,TD-TG5,Text generation,Reuse,OOD,Static judge,144,144,0.6770833328472222,0.6307870365225695,0.7187789346250001,0.4652777777777778,0.8157867986111111,3.4919806119318184,2.241332983988831
SIMULATED,TD-TG5,Text generation,Reuse,OOD,Static tools,144,144,0.6909722218750001,0.6550925924270833,0.7234085644809027,0.4722222222222222,1.0209675208333333,3.878093425568182,2.3019695586692714
SIMULATED,TD-TG5,Text generation,Reuse,OOD,Prompt optimization,144,144,0.7303240738888888,0.6909722224913195,0.7673900460121528,0.5902777777777778,1.155049909722222,4.130412102840909,2.4737731859199066
SIMULATED,TD-TG5,Text generation,Reuse,OOD,Program search,144,144,0.7187499996527777,0.6863136570486111,0.7488425921527777,0.5555555555555556,1.4045302361111112,4.599888717045454,2.4232427068174194
SIMULATED,TD-TG5,Text generation,Reuse,OOD,ERA,144,143,0.7272727269230769,0.6934731930052447,0.7599067595157344,0.5314685314685315,1.5193024722222224,4.815869197727273,2.4604515136250003
SIMULATED,TD-AR1,Automated research,Reuse,OOD,Static judge,144,141,0.7009456264539007,0.6678487000691489,0.7328900711613475,0.48226950354609927,0.7946575347222223,3.452219178977273,2.345511780826655
SIMULATED,TD-AR1,Automated research,Reuse,OOD,Static tools,144,142,0.6877934270422534,0.6560739434119719,0.7206572767605633,0.5211267605633803,1.0420536875000002,3.917773757386364,2.288091470228638
SIMULATED,TD-AR1,Automated research,Reuse,OOD,Prompt optimization,144,142,0.7065727692253522,0.663145539556338,0.7441607974295774,0.5492957746478874,1.1547941180555557,4.129930749431818,2.370078948309683
SIMULATED,TD-AR1,Automated research,Reuse,OOD,Program search,144,143,0.7062937063636364,0.6736305360524475,0.7377622376223776,0.5454545454545454,1.4040895625,4.599059449431818,2.3688606063659097
SIMULATED,TD-AR1,Automated research,Reuse,OOD,ERA,144,144,0.6736111110416666,0.6388888890260417,0.7083333333350694,0.5138888888888888,1.5400231944444445,4.854861829545454,2.226173842289409
SIMULATED,TD-AR2,Automated research,Collect,OOD,Static judge,144,144,0.6932870364583334,0.6562210641197918,0.7303530087795138,0.5069444444444444,0.8185374652777777,3.4971568664772725,2.3120756533376743
SIMULATED,TD-AR2,Automated research,Collect,OOD,Static tools,144,142,0.6948356804225352,0.6572769950704226,0.7300469482394366,0.528169014084507,0.9911196319444444,3.821925125568182,2.318836774778052
SIMULATED,TD-AR2,Automated research,Collect,OOD,Prompt optimization,144,144,0.7037037033333333,0.6666377307326389,0.7419270830173611,0.5347222222222222,1.1518330555555556,4.124358568181818,2.3575530848027775
SIMULATED,TD-AR2,Automated research,Collect,OOD,Program search,144,142,0.7206572766901408,0.687764083702465,0.7558978867394365,0.5915492957746479,1.3953739791666666,4.58265830625,2.43156956048304
SIMULATED,TD-AR2,Automated research,Collect,OOD,ERA,144,144,0.701388888611111,0.664351851734375,0.7338252315538194,0.5069444444444444,1.5285949930555556,4.833356032386363,2.3474469895280086
SIMULATED,TD-AR3,Automated research,Reuse,OOD,Static judge,144,144,0.7245370368055555,0.6932581015555556,0.7581018515277778,0.5625,0.7782148125,3.421276965340909,2.448507946520255
SIMULATED,TD-AR3,Automated research,Reuse,OOD,Static tools,144,143,0.7062937060839161,0.6713286715332167,0.7412587411206295,0.48951048951048953,1.0366597291666666,3.907623308522727,2.368860605144697
SIMULATED,TD-AR3,Automated research,Reuse,OOD,Prompt optimization,144,143,0.729603729090909,0.694638693986014,0.7645687641293707,0.5524475524475524,1.1299214722222222,4.083124952272727,2.470628280589393
SIMULATED,TD-AR3,Automated research,Reuse,OOD,Program search,144,142,0.7652582154225352,0.7311913139753522,0.7969483559190141,0.5915492957746479,1.4091147291666666,4.6085158994318185,2.626289825498885
SIMULATED,TD-AR3,Automated research,Reuse,OOD,ERA,144,141,0.7411347515602837,0.708008274003546,0.7730496447588653,0.5886524822695035,1.5961769861111113,4.960533055681818,2.520970802853605
SIMULATED,TD-AR4,Automated research,Collect,OOD,Static judge,144,143,0.6631701631468531,0.6270396271293707,0.7004662002919582,0.45454545454545453,0.8041303333333334,3.4700452636363637,2.1805904039386363
SIMULATED,TD-AR4,Automated research,Collect,OOD,Static tools,144,143,0.6748251742657342,0.6421911419562937,0.7062937053181819,0.4755244755244755,1.0124258819444445,3.8620196142045455,2.2314742399818184
SIMULATED,TD-AR4,Automated research,Collect,OOD,Prompt optimization,144,144,0.711805555486111,0.6793981487482639,0.7430555552795138,0.5069444444444444,1.1473521458333336,4.115926310795455,2.392924420993113
SIMULATED,TD-AR4,Automated research,Collect,OOD,Program search,144,144,0.7083333329861111,0.6736111111059029,0.7453703697916666,0.4930555555555556,1.3901548888888888,4.572836927272727,2.3777652762618633
SIMULATED,TD-AR4,Automated research,Collect,OOD,ERA,144,143,0.675990676153846,0.6421620047884615,0.7109557109108391,0.44755244755244755,1.5434732222222225,4.861354154545455,2.236562626974999
SIMULATED,TD-AR5,Automated research,Collect,OOD,Static judge,144,142,0.6795774649295774,0.6408157278450703,0.7171361502816901,0.45774647887323944,0.8005437569444445,3.463295978977273,2.2522219489717137
SIMULATED,TD-AR5,Automated research,Collect,OOD,Static tools,144,143,0.693473193006993,0.6549825170262237,0.7307692302814687,0.4965034965034965,0.9927297083333334,3.8249549965909093,2.31288838180303
SIMULATED,TD-AR5,Automated research,Collect,OOD,Prompt optimization,144,143,0.7062937056643357,0.6748251741241259,0.7377622371346155,0.45454545454545453,1.1177323194444446,4.060187182954546,2.368860603312879
SIMULATED,TD-AR5,Automated research,Collect,OOD,Program search,144,144,0.6956018520138889,0.6585648151388889,0.7314814816684027,0.5138888888888888,1.4114503402777778,4.612911094886364,2.3221817522506365
SIMULATED,TD-AR5,Automated research,Collect,OOD,ERA,144,144,0.7256944444444444,0.6898148149947917,0.7592881946111112,0.5347222222222222,1.578645361111111,4.927541724999999,2.45356099537037
