domain,method,x_inches,zero_inches,mean_inches,lower_inches,upper_inches,full_scale_height_inches
TD-TG4,Static judge,3.755589999999999,0.41,0.8008564814305557,0.7798495370997396,0.8212268516392361,0.55
TD-TG4,Static tools,3.786544999999999,0.41,0.7984615383076923,0.7779326920596155,0.8189903845605769,0.55
TD-TG4,Prompt optimization,3.817499999999999,0.41,0.8029487177692308,0.7837179486528846,0.8234615381538462,0.55
TD-TG4,Program search,3.848454999999999,0.41,0.8106410254615384,0.7914102563423078,0.8279647435548076,0.55
TD-TG4,ERA,3.879409999999999,0.41,0.8095892016197183,0.7902068657546655,0.8276643188882923,0.55
TD-TG5,Static judge,3.960589999999999,0.41,0.7823958330659722,0.7569328700874132,0.80532841404375,0.55
TD-TG5,Static tools,3.991544999999999,0.41,0.79003472203125,0.7703009258348958,0.8078747104644965,0.55
TD-TG5,Prompt optimization,4.022499999999999,0.41,0.8116782406388888,0.7900347223702258,0.8320645253066841,0.55
TD-TG5,Program search,4.053454999999999,0.41,0.8053124998090277,0.7874725113767361,0.8218634256840278,0.55
TD-TG5,ERA,4.084409999999999,0.41,0.8099999998076923,0.7914102561528846,0.827948717733654,0.55
TD-AR1,Static judge,4.285589999999999,0.41,0.7955200945496455,0.7773167850380318,0.8130895391387412,0.55
TD-AR1,Static tools,4.316545,0.41,0.7882863848732393,0.7708406688765845,0.8063615022183098,0.55
TD-AR1,Prompt optimization,4.347499999999999,0.41,0.7986150230739437,0.7747300467559859,0.8192884385862675,0.55
TD-AR1,Program search,4.378454999999999,0.41,0.7984615385,0.7804967948288462,0.8157692306923077,0.55
TD-AR1,ERA,4.409409999999999,0.41,0.7804861110729167,0.761388888964323,0.7995833333342882,0.55
TD-AR2,Static judge,4.490589999999999,0.41,0.7913078700520835,0.7709215852658855,0.8116941548287326,0.55
TD-AR2,Static tools,4.521545,0.41,0.7921596242323943,0.7715023472887323,0.8115258215316901,0.55
TD-AR2,Prompt optimization,4.552499999999999,0.41,0.7970370368333333,0.7766507519029514,0.8180598956595486,0.55
TD-AR2,Program search,4.583454999999999,0.41,0.8063615021795774,0.7882702460363558,0.8257438377066901,0.55
TD-AR2,ERA,4.6144099999999995,0.41,0.7957638887361111,0.7753935184539062,0.8136038773546006,0.55
TD-AR3,Static judge,4.695589999999999,0.41,0.8084953702430555,0.7912919558555556,0.8269560183402778,0.55
TD-AR3,Static tools,4.726545,0.41,0.7984615383461539,0.7792307693432692,0.8176923076163463,0.55
TD-AR3,Prompt optimization,4.757499999999999,0.41,0.811282051,0.7920512816923078,0.8305128202711539,0.55
TD-AR3,Program search,4.788454999999999,0.41,0.8308920184823945,0.8121552226864437,0.8483215957554577,0.55
TD-AR3,ERA,4.8194099999999995,0.41,0.8176241133581561,0.7994045507019503,0.8351773046173759,0.55
TD-AR4,Static judge,4.9005899999999984,0.41,0.7747435897307692,0.7548717949211539,0.795256410160577,0.55
TD-AR4,Static tools,4.931544999999999,0.41,0.7811538458461538,0.7632051280759615,0.7984615379250001,0.55
TD-AR4,Prompt optimization,4.962499999999999,0.41,0.801493055517361,0.7836689818115452,0.8186805554037326,0.55
TD-AR4,Program search,4.993454999999998,0.41,0.7995833331423612,0.7804861111082466,0.8199537033854166,0.55
TD-AR4,ERA,5.024409999999999,0.41,0.7817948718846153,0.7631891026336539,0.8010256410009615,0.55
TD-AR5,Static judge,5.1055899999999985,0.41,0.7837676057112676,0.7624486503147887,0.8044248826549296,0.55
TD-AR5,Static tools,5.136544999999999,0.41,0.7914102561538461,0.770240384364423,0.8119230766548078,0.55
TD-AR5,Prompt optimization,5.167499999999999,0.41,0.7984615381153846,0.7811538457682692,0.8157692304240385,0.55
TD-AR5,Program search,5.198454999999998,0.41,0.792581018607639,0.7722106483263889,0.8123148149176215,0.55
TD-AR5,ERA,5.229409999999999,0.41,0.8091319444444445,0.7893981482471355,0.8276085070361112,0.55
